Category,Question,Answer,Category1,Question1,Answer1,Category2,Question2,Answer2
General,What did Wilhelm Roentgen discover in 1895,X rays,General,What means both 'hello' & 'goodbye' in Hawaii,Aloha,General,What is a group of colts,Team
General,Who would get an award known as the purple cross,Animal bravery by RSPCA,General,Which two teams automatically qualified for the France '98 soccer world cup?,France and Brazil,General,In which sport do they compete for the Iroquois Cup,Lacrosse
People & Places,Who Was Known As Scarface ,Al Capone , History & Holidays,Who sang 'I Want My MTV' on the Dire Straits song 'Money For Nothing'? ,Sting ,Science & Nature,These essential body cells do not contain nuclei.,Red blood cells
General,Alcoholic beverage made from rice,Arrack,Science & Nature,What is the meaning of the name of the constellation Serpens ?,Serpent,General,What modern dance was supposed to cure a spiders bite,Tarantella
Music,Who had a UK No.1 hit in 1982 with “goodie two shoes”?,Adam And The Ants,General,Where was Room 222,Walt whitman high school,General,Who married john lange,Shania twain
Science & Nature,What is the name for the theoretical end-product of the gravitational collapse of a massive star?,Black hole,Science & Nature, Some species of earthworms in __________ can measure more than ten feet in length.,Australia,General,Back in the Habit' is the sub-title to which film sequel,Sister act
General,What is the only word in the English language that ends in the letters 'mt',Dreamt,General,What is mauna kea,Volcano,Music,"In 1978 Who Had Their First Hit With ""I Lost My Heart To A Starship Trooper""",Sarah Brightman
Tech & Video Games,Who has the world's largest double-decker tram fleet?,Hong Kong,Geography,"__________ was admitted to the U.N. in May 1993, making it the smallest country represented there.",Monaco,Religion & Mythology,"In Greek mythology, who turned Arachne into a spider?",Athena
General,Christopher Proudfoot owns the worlds largest collection of what,Lawnmowers,General,"Does a 'milliner' make & sell flour, hats or windmills",Hats,General,What were the first names of the comedy duo Laurel and Hardy,Stan and oliver
Sports & Leisure,Which Colour Ring Surrounds The Gold Center Of An Archery Target ,Red ,General,Virginia Patterson Hensley became more famous as who,Patsy Cline,Science & Nature, The fastest animal on four legs is the __________,Cheetah
General,Top USA food consumption days - Xmas Thanksgiving and what,Super Bowl Sunday,General,Who was united nation's first general secretary,Trygve lie,General,In New Jersey what can't be sold on a Sunday,Cabbage
Entertainment,The maiden names of which two cartoon characters are Slaghoople and Mcbricker?,Wilma Flintstone and Betty Rubble,General,USA UK and Irish women golfers play for which trophy,Curtis cup,General,Who invented the electric cooking range,Thomas ahearn
 History & Holidays,On what date did 'The Wall' fall? ,1989 ,General,What is the oldest brewery in the u.s,Yuengling brewery,Geography,What is the capital of Uzbekistan,Tashkent
General,Which Canadian city was originally called Bytown,Ottawa,Sports & Leisure,Who Was Captain Of England In 1966 When They Won The World Cup ,Bobby Moore ,General,"Annoying, litigious (and possibly duplicitous) owner of Boston Beer Company",Jim koch
General,What is the capital of New Mexico,Santa fe, Geography,What London borough does the Prime Meridian pass through?,Greenwich,General,Which is the second largest city in Norway,Bergen
General,Who was the last surviving signer of the declaration of independence,Charles,General,Brothers Jacob and Wilhelm were librarians and professors of language in 19th Century Germany. What was their surname,Grimm,General,In the US civil war what were graybacks,Body lice
General,Soundtrack(Kelly/Ellis/Hare),Joey b elis & tynette hare,General,What was voted toy of the 20th century,Lego,General,Who controls more than 80% of the world's rough diamond supply,De beers
General,Germany's equivalant to the dollar is ______,Deutchmark,General,What ape is the best acrobat,Gibbon,General,What small region at end of medulla oblongata serves as 'bridge' to brain,Pons
People & Places,Whose Real Name Is 'Cherilyn Sarkisian La Pierre' ,Cher ,General,Which country invented the clothing button in the 13th century,France,General,Ancient mariner who flew too near the sun waering wings attached with wax,Icarus
Science & Nature,Does The Water Run Clockwise Or Anti Clockwise Down A Plug Hole In Britain ,Anti Clockwise ,General,Which mountain range reaches from the Black Sea through Georgia to the Caspian Sea,Caucasus kavkaz,General,By which name is Eric Claudin better known,Phantom of the opera
General,In which French island territory would you find the towns Bastia and Calvi,Corsica,General,What country has the third most satellites in orbit?,France,General,Grevys and Burchells are types of what animal,Zebra
General,"Which Group Were The First Group To Have A UK No.1 From The ""Stock, Aitken & Waterman"" Hit Factory",Dead Or Alive,General,"Who sang of ""great balls of fire""",Jerry lee lewis,General,"Poet Robert Frost & the white mountains, both call this state home",New hampshire
Science & Nature,Which Russian chemist (1834-1907) founded our modern periodic table?,Dmitry Ivanovich Mendeleyev,General,What Chinese city is the world's largest noncapital,Shanghai,General,What was the famous line uttered by an old woman in Wendy's ads?,Where's The Beef?
 History & Holidays,"Who Had An 80's Hit With The Song 'Other Woman,' ",Ray Parker Jr ,General,In which American state is Wankers Corner,Oregon,General,What is the fastest bird,Spine tailed swift
Science & Nature,By what chemical process do plants manufacture food?,Photosynthesis,Music,What Rush album cover features rabbits and a magician's hat?,Presto,General,"What did Dr Samuel Mudd do that your inspired ""name is mud""",Treated J W Booth Life imprison
General,Who didn't invent the passenger lift in 1852 but did invent a safety device which made them safe enough for general use,Elisha g. otis,General,Who played Johnny Yuma in the series The Rebel,Nick adams, History & Holidays,"According to the bible, who are Gaspar, Balthazar and Melchior ",Three Wise Men 
General,What were king arthur's knights called,Knights of the round table,General,Who is the patron saint of Gypsies,St Sarah,General,What did John F Kennedy claim was his biggest mistake as president,Bay of pigs invasion
General,Capital cities: Finland,Helsinki,Entertainment,Which British group holds the record for the album to remain in the US Billboard charts for the longest time?,Pink Floyd, History & Holidays,Name the original eight reindeer from the 'Twas the night Before Christmas' poem. ,"Comet, Cupid, Dasher, Dancer, Prancer, Vixen, Donner, Blitzen (or Dunder and Blixem) "
Music,"Which Ex Spice Girl Had A Hit With ""Lift Me Up""",Geri Halliwell,General,Lamb where were the 1956 summer olympics,Melbourne,Geography,Where is le figaro published ,Paris 
General,"What kind of animals are impalas, elands & kudus",Antelopes,Sports & Leisure,How many referees work a soccer game?,One,Science & Nature,Who discovered the four largest moons of Jupiter?,Galileo
General,At which battle did General James Scarlett lead the Charge of the heavy Brigade,Balaclava,General,Canberra in Australia has 2 meanings meeting place and what,Female breasts,General,In Oxford university what can you not take into the library by rule,Sheep
General,Where is brest,France,General,What two seasons do the equinoxes occur in,Spring & autumn,Toys & Games,"In roulette, what number is green?",Zero
General,Which famous building was built by Shih Huang Ti ?,Great Wall of China,General,What Is The Best Selling Copyright Book Of All Time?,The Guiness Book Of Records,Science & Nature,As what is haemophilia also known?,Royal disease
General,What song did Rick ask Sam to play in Casablanca,As Time Goes By,General,Collective nouns - A tiding of what,Magpies,Music,What is the real name of singer Meatloaf?,Marvin Lee Aday
 History & Holidays,Which Character On TV Has The Real Name Of Eddie Fitzgerald ,Cracker ,General,Which Nobel Prize is not awarded annually in Stockholm,Peace,General,What is the square root of 81,Nine
General,Boccaccios collection of ten stories are known as what,Decameron,Entertainment,Who played Bobby Ewing in the TV series 'Dallas'?,Patrick Duffy,General,Who does the voice for yoda in the star wars films,Frank oz
General,Sir Francis Drake named it New Albion what is it today,Oregon USA,Science & Nature,"Native To America , What Type Of Bird Are Lewis's Red Bellied , Ladder-Backed & Nuttall's ",Woodpeckers ,General,How Are Tom Rowlands & Ed Simmons Better Known?,The Chemical Brothers
General,The Easter lily is a native plant of which country,Japan, Geography,What is the basic unit of currency for Guyana ?,Dollar,General,Who was the King of Swing,Benny Goodman
General,"In the 1983 movie ""National Lampoon's Vacation,"" where were the Griswolds headed on their cross country trip?",WalleyWorld,General,Capital of Scotland,Edinburgh,General,At which American University were four students shot dead in 1970 whilst protesting against the Vietnam War,"Kent state, ohio"
General,In Lynch Heights Delaware its illegal to do what in an airplane,Sneeze,General,What is a group of crocodiles,Bask,General,What US state has no motto,Alaska
Music,"Whose Debut Solo Album Was ""I Got Dem Kosmic Blues Again Mama"" In 1969",Janis Joplin,Geography,What island is pearl harbour on ,Ohau ,General,What dance is usually performed to Orpheus in the Underworld,Can Can
General,What is the capital of the Australia's Northern Territory,Darwin,General,Where would you experience serious pain if someone dropped a concrete block on your hallus,Your big toe big toe,Science & Nature," There are 1,600 known species of __________ in the world.",Starfishes
General,Aulophobia is a fear of what,Flutes,General,Which actor has played Fagin on both the stage and in the 1968 film Oliver!,Ron moody,General,Which Fictional Character Played On Screen Has A Relative Named Aunt Lucy,Paddington Bear
General,Where is angel falls,Venezuela,Art & Literature,Where Might You Find The Museum Of Modern Art ,New York ,General,Cocktails: Vodka and lime juice make a,Gimlet
General,Who recorded 'a boy named sue',Johnny cash,General,In What Country Did Horse Radish Sauce Originate,Japan,General,"What was the name of the actress who played ""Melonie"" on the show ""Webster and Melonie""?",Heather O' Rourke
General,If you are at Comiskey Park what sport would you be watching,Baseball,General,In Disney's The Lady and the Tramp what kind of dog is 'Lady',Cocker spaniel,General,Eras are divided into units called ________,Periods
General,What was the name of the dog in Fraggle Rock?,Sprocket, History & Holidays,Which chapter of the 'Phantasm' series was entitled 'Oblivion' ,Phantasm 4 ,General,Who followed Henry VIII to the throne,Edward vi
General,Gamophobia is fear of ______,Marriage,General,A young what is called a blinker,Mackerel,General,What is the title of the sequel to the book Gentlemen Prefer Blondes by Anita Loos,Gentlemen marry brunettes
General,Ostraconophobia is the fear of,Shellfish,General,Which US President did Anthony Hopkins play in a 1995 film?,Richard Nixon,Food & Drink,What colour is extra-virgin olive oil ,Green 
 Geography,What is the capital of West Virginia?,Charleston,Music,Who Appeared On The Cover Of A June 98 NME Dressed As A Tiger,Damon Albarn,Sports & Leisure,"Lincoln, East End, Manchester & London Are All Types Of What ",Dartboards 
Entertainment,What was the first cartoon to feature sound?,Steamboat Willie,General,What is the flower that stands for: reward of virtue,Garland of roses, History & Holidays,What Family Live At 1313 Cemetary Lane ,The Adams Family 
General,"A lively social dance popular during the 1930s; it originated at the Savoy Ballroom in Harlem in 1928, where it was known as the Lindy.",Jitterbug,General,Which German city stands on the confluence of the Rhine and Moselle rivers,Coblenz,Science & Nature,A heavenly body moving under the attraction of the Sun and consisting of a nucleus and a tail is a(n) _______.,Comet
General,What kind of bones once stiffened corsets,Whale,General,The worlds first was 69.5 feet long and took a year to make ?,Oil Well,General,In which country are the most flowers bought per capita,Netherlands
General,"Alec Issigonis Is Credited With Designing The Mini, The Morris Minor And Which Other Classic British Car",Austin 1100 / Austin 7,Sports & Leisure,The very first Olympics were part of a festival to honor which God? ,Zeus ,General,Texas prisons have banned death row prisoners last what,Cigarette - bad for their health
General,What do the four quarters of a hot cross bun symbolise,Moon phases,General,What country is home for Europe's largest glacier,Switzerland,General,What berries give gin its flavour,Juniper berries
General,Under which rules was boxing standardised,Marquise of queensberry,General,What job links Kris Kristoffensen and Gene Roddenbery,Both worked as pilots,General,Michael Cain starred as Carter in the film Get Carter. Who plays Carter in this year's remake,Sylvester stallone
General,In which song does frank sinatra sing 'i travelled each and every highway',I,Food & Drink,Which Restaurant Crtic Took Over From Jonathan Meades In The Times ,Giles Coran ,General,What film is about the migration of poor workers from the dust bowl to the california fruit valleys,Grapes of wrath
General,An anemometer measures ____ ________.,Wind velocity,Science & Nature,What is the name given to a group of stars?,Constellation,General,A woman has Hisdoy syndrome what has she got,A Moustache
General,What sound made by people can be almost as loud as the noise of a pneumatic drill,Snore,Science & Nature," A robin has nearly 3,000 __________",Feathers,General,"Vincent Van Gogh sold exactly one painting while he was alive, what was it",Red vineyard at arles
General,What is a group of fish,Shoal,General,What's the only crime that the church would not grant sanctuary,Sacrilege, Language,What does 'alma mater' mean in English?,Bountiful mother
Science & Nature,What Is Ten In Binary Notation ,1010 , History & Holidays,"Child star Jimmy Boyd sang which hugely popular 1950's Christmas song, which was initially banned by the Catholic Church in Boston because it supposedly mixed sex and Christmas? ",I saw Mommy kissing Santa Claus ,General,"In 1933, mickey mouse, an animated cartoon character, received 800,000 of these",Fan letters
General,Where do Grand Prix drivers put their cars at the beginning of a race,Grid, Geography,What is the basic unit of currency for Zimbabwe ?,Dollar,General,What does peritonitis affect,Abdomen
General,What Countries Capital City When Translated Literally Means “ Gods Gift ”?,Bagdad,Music,"Who Had A Hit With ""Rock The Boat"" In 1974",The Hues Corporation,Geography,Which Is The 3rd Most Widely Spoken Laanguage ,Russian 
General,"In the contract that gave cuba freedom from the us, what was required",Permanent us navy base there permanent naval base,General,"What jockey was nicknamed ""Wee Willie""",Willie shoemaker,General,What is a geoduck,Clam
General,What city was martin luther king jr assassinated in,Memphis,General,Hundred kilometres from what do camels protect themselves with three eyelids,Blowing sand,Science & Nature,From 1979 until 2000 the most distant planet from the earth was ________.,Neptune
General,The Merry Go Round is Broken Down - whose melody is that,Looney Tunes,General,Odysseus captured by Cyclops Polyphemus what false name,Nobody,General,Englishman John Woodhouse created which fortified Italian wine,Marsala
General,In you called Jl52020 or 555 2020 in film who would answer,Ghostbusters,General,Ambrosia the food of the Gods from the Greek Ambroata means,Immortal,Science & Nature, Baby beavers are called kits or __________,Kittens
General,What shakespearean play refers to the date of epiphany,Twelfth night,General,What is the shortest and bloodiest of Shapespeare's plays,Macbeth,General,"Which French mathematician, ""the father of Modem Mathematics"", invented analytical or co-ordinate geometry",Rene descartes
General,What's in 5 groups Today Arts People Well being Outdoors,Classifications Girl Scout Badges, History & Holidays,"Santa Claus is based on St Nicholas, where was he born ",Turkey ,General,What does the initials NMT on a prescription mean,Not More Than – usually narcotics
General,"What is the name of the ""Oklahoma Bomber""",Timothy mcveigh, Geography,In which continent would you find the Mackenzie river ?,North America,General,CaCo3 is the chemical formula of what common item,Calcium Carbonate – Chalk
General,What Was The First British Tv Show To Give Away 1 Million Pounds,T.F.I - Friday,Music,What was Dina Carolls first solo top ten hit?,Don't be a stranger,Science & Nature,What did Einstein get the nobel prize for?,The Photelectric effect
General,Rafflesia flowers smell like what to attract pollinators,Rotting Meat,General,What's the largest museum in the world,Louvre,General,The words 'dungarees' and 'jungle' originate from which language,Hindi
General,Who was the Angel in Milton's Paradise Lost,Beelzebub,Food & Drink,Who wrote the novel Cakes And Ale? ,W. Somerset Maughan ,Sports & Leisure,What Is The Name Of The (War Dance) The All Blacks Perform Before A Match ,The Haka 
Music,Which Soul Pairing Duetted On “Endless Love” In 1981?,Lionel Ritchie & Diana Ross,General,What is a group of this animal called: Teal,Spring,Science & Nature,What Road Safety Device Was Invented By Percy Shaw In 1943 ,The Cats Eye 
General,Who served under Nelson commanding the Glatton 1801,William Bligh,General,By what name was outlaw Harry Longbaugh better known,Sundance kid,General,What is a group of this animal called: Badger,Cete
General,Which political party was founded in West Germany in 1972 by the late Petra Kelly,The green party,General,We call them Turkeys what do the Turks call them,American Birds,Science & Nature,"What does the ""lithosphere"" refer to",The earth's crust
General,What numbers does the binary system use,One and zero,Sports & Leisure,What Is The Only Sport In Which You Can See Teams Defending Goals Of Different Sizes ,Water Polo ,General,"Where Exactly Is The 89,000 Feet High Olympus Mons Volcano?",Mars
General,Necrophobia is the fear of,Death,General,What is a female ferret,Jill,General,For Which London Club Did David Seaman Begin His Professional Football Career,Queens Park Rangers
General,Tribology is the study of what,Friction,Geography,Lake Baikal in ______________ is the only lake in the world that is deep enough to have deep_sea fish.,Siberia,General,What is the name of jaleel white's character in the tv series 'family ties',Steve erkel
General,Stanley Gibbons started as a chemist but changed to what,Stamp Dealers,General,Who was the first president born in a hospital,Jimmy carter,Sports & Leisure,Which sport is Toxophily? ,Archery 
General,91% of Americans do what regularly,Lie,General,"What creature's name was derived from French words meaning ""spiny pig""",The porcupine porcupine,General,"""It's a Shame About Ray"" was released in 1992 and rereleased later with a cover of Simon and Garfunkel's Mrs Robinson. which band was it",Lemonheads
General,Routine is what shaped pasta,Wheels,General,What is the Capital of: Palau,Koror,General,"The symbol on the ""pound"" key () is called a(n) _________",Octothorpe
General,Which creatures name translates as the lizard in Spanish,Alligator,General,Amuhea Princess of Medes was the wife of who,Nebuchadnezzars,General,"Who, with 90 years, is the longest ruling monarch in history",Pepi ii of egypt
General,"This dry, warm wind flows eastward down the slopes of the Rocky Mountains",Chinook,General,Who made the first solo round the world flight,Wiley post,General,What does the girls name Deborah mean,Bee - from Hebrew
General,In 1741 Robert Keeler first to commercially manufactured what,Marmalade in Dundee Scotland,Food & Drink,"What nationality is the lager producer, `grolsch'? ",Dutch ,General,Who took eight days to do the first solo round the world flight in 1933,Wylie post
 History & Holidays,Who Released The 70's Album Entitled Trafalgar ,Bee Gees ,General,What are the three winter months in the southern hemisphere,"June, july and",Music,Which Troggs hit from 1967 was a worldwide smash in 1994 for another bandf?,Love Is All Around (Wet Wet Wet)
General,"Eddie and his father's last name in ""The Courtship of Eddie's Father""",Corbett,General,A stupa is a shrine to the memory of whom,Buddha, Geography,What is the capital of Burkina Faso?,Ouagadougou
General,Reykjavik translates into what,Smoky Bay,Entertainment,Who played the mayor of the munchkins in 'The Wizard of Oz'?,Charlie Becker,General,In which country was it once against the law to slam your car door?,Switzerland
General,"Name 18th Century playwrite of The Rivals, School for Scandal",Richard Brindsley Sheridan,General,In Sesame street name the two headed friendly monster,Frank and Stein,General,Who is the longest serving Head of State who is not a member of a Royal Family,Fidel castro
General,What keeps one from crying when peeling onions,Chewing gum,General,Okamoto in Japan is the worlds largest maker of what,Condoms,General,Who is the Patron Saint of Young Boys,St Pancreas
Music,What Was The Title Of David Essex's Not Very Successful Stage Musical,Mutiny,General,What is the holiest day in the Jewish calendar,Yom Kippur,Music,What Do The Initials DMC Stand For With Regard To The Hip Hop Band Run DMC,Dynamic Microphone Control
General,Who was disqualified after winning the 1976 british grand prix,James hunt,General,Why would women dislike using a West Indian Dildo,Its a cactus, Geography,What is the basic unit of currency for Ecuador ?,Sucre
General,Motorphobia is a fear of ______,Automobiles,General,"In musical notation, what is the effect of placing a dot immediately after a note",Increases its length by half,General,How many steps are there to the top of the eiffel tower,1007
General,Who was a bullfrog and a great friend of mine,Jeremiah,Science & Nature,Which Snake Is Also Known As A Hamadryad ,King Cobra ,General,"On which object would you find a crown, a waist, a sound-bow and a clapper",Bell
Music,Which British Group Won The 1981 Eurovision Song Contest,Bucks Fizz,Science & Nature, All porcupines float in __________,Water, History & Holidays,What Name Was Given To The Practise Of Killing Every Tenth Man In A Mutinous Roman Cohort? ,Decimate 
Music,"Which Talented Us Producer Reached No.14 With ""Ai No Corrida"" (I-No-Ko-Ree-Da)",Quincy Jones,General,What lucky charm does Luciano Pavarotti carry in his pocket whilst performing,A bent nail,General,What is unusual about the number 8549176320,Digits alpha order
Food & Drink,What Is Karahi ,A Type Of Wok Used In Asian Cooking ,Music,Who Covered Wayne Fontana's A Groovy Kind Of Love In 1988,Phil Collins,General,When did William Lyon Mackenzie King retire,1948
General,What is the largest lake in South America,Lake titicaca,General,There are over 800 brands of what for sale in the USA,Bottled Water,General,Cliff Richards She's so Beautiful who played every instrument,Stevie Wonder
 Geography,What is the capital of Zambia ?,Lusaka,Music,"Which British R&B Band Were Featured In The 1969 Norman Wisdoms ""What's Good For The Goose""",The Pretty Things,General,What is the most common name in the Bible,Zachariah
General,Which medical condition is detected using the Ishiharo Test,Colour blindness,Food & Drink,What Do You Call Champagne Mixed With Orange Juice ,Bucks Fizz ,General,Inspector Bucket appears in which Dickens novel,Bleak House
General,What country was the first in the world to allow women voters,New Zealand,General,Who was known as the Queen of Folk Music,Joan Baez,General,"Which English Football Team Used To Be Known As "" Newton Heath ""?",Manchester United
General,What's a dead body of an animal called,Carcass,General,Who got his 100-meter dash gold medal stripped away due to his steroid use in the 1988 Olympics?,Ben Johnson,General,What food stuffs name come from the Italian for Pick me Up,Tiramisu
General,France the bliss of mrs blossom starred what actress in the title role,Shirley,General,The assault on Starfleet by the Borg was at,Wolf 359,General,What is the most popular jukebox song of all time,Crazy - Patsy Cline
General,Les Paul and Charlie Christian were exponents of which musical instrument,Guitar,Music,"The 3 Degrees Recorded ""Ta ke Good Care Of Yourself"" In What Yeat 1972,1973,1974,1975",1975,General,Give either of the two men who completed the first circumnavigation of the globe in a balloon,Bertrand piccard brian jones
Sports & Leisure,Who holds 3 World Heavyweight boxing belts? ,Lennox Lewis , History & Holidays,"Double, double toil and trouble; Fire burn, and cauldron bubble. Comes from which of Shakespeare's plays ",Macbeth ,General,Whats the capital of Bermuda,Hamilton
General,Who lived at 1431 North Beachwood,The Monkeys,General,What is a group of mares,Stud,General,What was mildred ella didrikson's nickname,Babe
 History & Holidays,Who Released The 70's Album Entitled Twelve Dreams of Dr. Sardonicus ,Spirit ,General,At what does singapore use the colors blue and yellow to ward off evil spirits,Funerals,General,Dishabiliophobia is a fear of ______,Undressing in front of someone
General,From which plant do we get linseed oil,Flax,Science & Nature,What planet boasts the Great Red Spot,Jupiter,General,"In Greek mythology, who was aphrodite's mother",Dione
General,Beans who was the only actor to become president of the u.s.a,Ronald reagan,General,What is the Capital of: New Zealand,Wellington,General,"What name did George Eastman invent in 1888 because it was easy to memorize, pronounce & spell",Kodak
General,"Texas Chainsaw Massacre, there was a guy in a wheelchair. What was his name?",Franklin,General,Who was the sun king,Louis xiv,General,"What is the Capital of: Gambia ,The",Banjul
General,"What is this Italian dessert, made from sponge cake, mascarpone cheese and flavoured with coffee and brandy called",Tiramisu,Food & Drink,What is the main flavour in the following alcohol 'Amaretto' ? ,Almond ,Sports & Leisure,What do the letters ERA mean in baseball?,Earned Run Average
General,What novel by Geoffrey Household was about an attempt to kill Hitler,Rogue male,General,In which U.S. state is the Lowell Observatory,Arizona,General,Bridge River Kwai - Bridges Toki Rio - what actor links films,William Holden
General,What two words were merged to create the word 'meld',Melt and weld,Science & Nature,"Dinosaurs Lived In The Mesozoic Era Between 65 & 290 Million Years Ago. Split Into 3 Periods, Which Came Between The Triassic & Cretaceous Periods ",The Jurassic Period ,General,Who plays joey potter on 'dawson's creek',Katie holmes
General,What are the separators on a guitar neck called,Frets, History & Holidays,"""Who invented the Christmas Cracker? (""""George Cracker"""", """"Tom Smith"""", """"Thomas Edison"""", """"John Bell"""" "" ",Tom Smith ,General,"In which mountains would you find Mount Logan, the highest mountain in Canada?",St Elias Mountains
General,What carries sensations from the tongue to the brain,Lingual nerve,Geography,"The _______________ is not a sea, but a landlocked salt lake, 45 miles long by 9 miles wide.",Dead sea,General,"In 1924, pope urban viii threatened to excommunicate people who used what",Snuff
General,What links Vespasian Titus Domitian Nerva,Rulers Roman Empire 69 - 98,General,Who would use an 'embouchure' in their work,Musician,Science & Nature,Secret Research Into What Was Nicknamed The Manhattan Project ,The Atom Bomb 
General,"What is the nickname of fifth avenue, new york",Millionaires' row,Music,From Which Country did The Band Black Box Originate,Italy, History & Holidays,The Tradition Of Dressing Up On Halloween Started Because ,It Was Believed If You Looked Like A Ghost Then You Would Be Tormented By A Real One 
General,"What riddle asked: ""what is it that walks on four legs, then on two legs, & then on three""",The riddle of the sphinx,General,What is in a Ballini cocktail,Peaches and Brut Champagne,General,Which SF author invented the idea of the com Satellite,Arthur C Clark
General,What was Procul Harem's greatest hit,Whiter shade of pale,General,Who was Jack the Ripper's first victim,Mary ann nichols,People & Places,Which actress played the younger Diana Dors in the 1999 TV film The Blonde Bombshell? ,Keeley Hawes 
General,Christine Jorgensen in 1952 was the worlds first what,Sex Change Operation,General,"What is a standard 7'8"" x 3'2"" x 6'",Grave,General,Who advised us to 'break on through to the other side',Doors
Entertainment,Where does Yogi Bear Live,Jellystone park,Music,Who Wrote The Firebird Suite & The Ebony Concerto For A Swing Band,Igor Stravinsky,General,What's the capital of Nicaragua,Managua
Toys & Games,Building tool named after Civil War president.,Lincoln logs,General,As what is a moose also known,Algonquin,General,Henry Harley Arnold was the first US pilot to do what,Carry Mail
General,In 1967 what new safety measure was introduced to the UK,Breathalyser,Geography,Which motorway connects London with Cardiff? ,The M4 ,General,"What is the common name for ""tinea pedis""",Athletes foot
Science & Nature," The flamingoes of East Africa have few natural enemies. In general, the only predators an adult flamingo need fear are the fish eagle and the __________",Marabou stork,General,Where did the greek gods live,Mount olympus,General,What is the most popular name for a dog in the U.S.,Rover
General,"After leaving '10000 maniacs', who released her first solo album 'Tiger Lily' in 1995",Natalie Merchant,General,Who was the last person executed by the guillotine,Hamida djandoubi,General,Which buff coloured cotton comes from China,Nankeen
General,Britain France and who fought the battle of Trafalgar,Spain,Science & Nature, __________ crumble leaves in their mouths to make a type of sponge to sop up water from the hollows in trees when they can't reach the water with their lips.,Chimpanzees,General,Patusnaya and mallasol types of what,Caviar
General,What flowers name translates from the Greek as Water Vessel,Hydrangea,General,"Author of 'Coming of Age in Samoa', the mostly widely read book in the field of anthropology",Margaret mead,General,Where is the Longchamps race track,Paris
General,A snooker game needs how many balls,22,Entertainment,What is Super Chicken's partners name?,Fred,General,In which film was Charlie Chaplin first heard to speak,The great dictator
General,What Does The MP Stand For In The Abbreviation MP3,Motion Picture / Moving Picture It Does*NOT* Stand For Music Player,General,What Is Measured By A Pluviometer,Rain,General,What is a marcupium,A marsupials pouch
Music,Billy Joel Gave An An Exhaustive List Of 20th Century Events In Which Song,We Didn't Start The Fire,General,Who wrote the children's book Bedknobs and Broomsticks,Mary Norton, Geography,What is the only borough of New York City that is not on an island?,Bronx
 History & Holidays,Which was the first magazine to publish a hologram on its cover?,National Geographic,General,On Full House Uncle Jesse had a last name before it became Katsopolis what was it?,Cochran,General,What 1998 film broke the opening weekend box-office record,The waterboy
General,What letters are not on the telephone dial,Q and z,General,Which former dishwasher had his movie premiere in 1921,Rudolph valentino, History & Holidays,What does Dorothy have to steal from the wicked witch in oz ,Her Broomstick 
General,Who was killed in The Little Bastard,James Dean - his cars nickname,General,Tropical tree bearing edible orange fruit,Guava,Music,"Elvis Costello's ""Watching The Detectives"" Was The First Hit For Which Label",Stiff
Sports & Leisure,Polo consists of 8 periods called what?,Chukkers,General,What is a tucket,Baseball organ music,General,Name the brand of the first sour mash whiskey made in 1835,Old Crow
General,West Side Story tells about the West side of what or where,Fifth Avenue,Music,Which american singer had 35 consecutive uk top ten hits between 1984 and 1994?,Madonna,General,What is the'Literary' connection between the wife of a Beatle and a character played by Michael Elphick on TV ,Mills and Boon (Heather Mills-McCartney and Ken Boon) 
General,What Type Of Creature Is A SilverBack?,A Gorilla,Art & Literature,"A European movement beginning in France. Gothic sculpture emerged c. 1200, Gothic painting later in the thirteenth century. The artworks are characterized by a linear, graceful, elegant style more naturalistic than that which had existed previously in Europe. ",Gothic,General,What Is The Name Of This Mr Man Character,Mr Nonsense
General,In what country was Che Guevara born,Argentina,General,Dream of jeannie license plates: what film series does ob wan enjoy,Star wars,General,What astrological star sign covers July 24 - August 23,Leo
 Geography,What is the largest island in the Caribbean?,Cuba,Science & Nature, The king crab walks __________,Diagonally,General,Where did 24 democratic and republican national conventions take place,Chicago
People & Places,"In which European country is Dalmatia , from where the Dalmatian Dog gets it's name? ",Croatia ,Entertainment,What song was originally 'Good Morning To You' before the words were changed and it was published in 1935?,Happy Birthday To You,Religion & Mythology,Who is the Greek messenger god?,Hermes
General,Who was the legendary front man for the band roxy music,Brian ferry,General,What's the capital of Wyoming,Cheyenne, History & Holidays,"Which novel, published in1932, was a vision of the future as a sanitised society? ",Brave New World 
General,Which was the first country to host 2 soccer world cups,Mexico,General,A bone specialist is a________,Osteopath,General,What is a group of this animal called: Mule,Barren span
Geography,Which country at the southern tip of the Arabian Peninsula was previously known as Aden? ,Yemen ,General,Who is reported to have invented The Blow Up Doll?,Adolf Hitler,General,Who led 900 followers in a mass suicide in 1979,Jim jones
General,What is the fifth day of the week,Thursday,Sports & Leisure,In Which Game Would You Use A Spider? ,Snooker ,General,"Who wrote ""the marriage of figaro""",Mozart
Geography,What is the capital of Malawi,Lilongwe,General,What is the smallest species of penguin,The Fairy Penguin,General,Linus Torwalds invented and wrote what,Linux computer operating system
Entertainment,"The song ""Matchmaker, Matchmaker"" came from which musical play?",Fiddler On The Roof,General,Which country has a plain green flag?,Libya,General,Name Chewbacca's son - seen Star wars holiday special 1978,Lumpy
General,When did Pope Paul Vl say that fasting was still obligatory on certain days,1966,General,British policemen have truncheons what is USA equivalent,Nightstick,General,What country celebrates its National Day on 25th June?,Slovenia
